country,year,co2_per_capita,gdp_per_capita,population,gdp,co2,treated
Albania,1985,2.485,3585.25702621947,3171727.0,11371456512.0,7.882,0
Albania,1986,2.513,3638.6888834219017,3207129.0,11669744640.0,8.058,0
Albania,1987,2.3,3698.7321761868156,3237677.0,11975300096.0,7.447,0
Albania,1988,2.246,3768.4195059851018,3263019.0,12296424448.0,7.329,0
Albania,1989,2.738,3844.0888249207005,3282187.0,12617018368.0,8.986,0
Albania,1990,1.675,3929.457470593216,3295073.0,12947849216.0,5.521,0
Albania,1991,1.299,2839.3692691924834,3302087.0,9375844352.0,4.29,0
Albania,1992,0.762,2647.2077676861786,3303738.0,8745680896.0,2.517,0
Albania,1993,0.708,2919.476285592667,3300715.0,9636359168.0,2.338,0
Albania,1994,0.584,3216.7955455994093,3294001.0,10596127744.0,1.924,0
Albania,1995,0.636,3532.10332818775,3284370.0,11600734208.0,2.089,0
Albania,1996,0.617,3890.575896820137,3271336.0,12727380992.0,2.018,0
Albania,1997,0.474,3502.6075216651952,3253721.0,11396507648.0,1.543,0
Albania,1998,0.543,3857.0525684637482,3232185.0,12466707456.0,1.755,0
Albania,1999,0.931,4411.06273203741,3208265.0,14151858176.0,2.986,0
Albania,2000,0.951,4781.312138457656,3182027.0,15214264320.0,3.025,0
Albania,2001,1.021,5252.335524786634,3153615.0,16563844096.0,3.221,0
Albania,2002,1.2,5573.15978401526,3123554.0,17408065536.0,3.748,0
Albania,2003,1.391,5970.106330017559,3092993.0,18465497088.0,4.303,0
Albania,2004,1.364,6395.773356812072,3062629.0,19587880960.0,4.177,0
Albania,2005,1.405,6852.479651366007,3032636.0,20781076480.0,4.261,0
Albania,2006,1.302,7366.43545645572,3003391.0,22124285952.0,3.911,0
Albania,2007,1.327,7921.351405821533,2976089.0,23574646784.0,3.949,0
Albania,2008,1.49,8631.305363368105,2951690.0,25476937728.0,4.397,0
Albania,2009,1.504,9032.898972992469,2930553.0,26471389184.0,4.407,0
Albania,2010,1.642,9472.86657179476,2913402.0,27598268416.0,4.784,0
Albania,2011,1.832,9809.026569125648,2900660.0,28452651008.0,5.315,0
Albania,2012,1.677,9976.995959118882,2892191.0,28855377920.0,4.85,0
Albania,2013,1.831,10094.371629698315,2887019.0,29142642688.0,5.287,0
