country,year,co2,co2_growth_prct,co2_per_capita,gdp,population,gdp_per_capita
Albania,1985,7.882,0.711,2.485,11371456512.0,3171727.0,3585.25702621947
Albania,1986,8.058,2.24,2.513,11669744640.0,3207129.0,3638.6888834219017
Albania,1987,7.447,-7.582,2.3,11975300096.0,3237677.0,3698.7321761868156
Albania,1988,7.329,-1.583,2.246,12296424448.0,3263019.0,3768.4195059851018
Albania,1989,8.986,22.607,2.738,12617018368.0,3282187.0,3844.0888249207005
Albania,1990,5.521,-38.566,1.675,12947849216.0,3295073.0,3929.457470593216
Albania,1991,4.29,-22.287,1.299,9375844352.0,3302087.0,2839.3692691924834
Albania,1992,2.517,-41.329,0.762,8745680896.0,3303738.0,2647.2077676861786
Albania,1993,2.338,-7.116,0.708,9636359168.0,3300715.0,2919.476285592667
Albania,1994,1.924,-17.716,0.584,10596127744.0,3294001.0,3216.7955455994093
Albania,1995,2.089,8.59,0.636,11600734208.0,3284370.0,3532.10332818775
Albania,1996,2.018,-3.425,0.617,12727380992.0,3271336.0,3890.575896820137
Albania,1997,1.543,-23.519,0.474,11396507648.0,3253721.0,3502.6075216651952
Albania,1998,1.755,13.72,0.543,12466707456.0,3232185.0,3857.0525684637482
Albania,1999,2.986,70.182,0.931,14151858176.0,3208265.0,4411.06273203741
Albania,2000,3.025,1.297,0.951,15214264320.0,3182027.0,4781.312138457656
Albania,2001,3.221,6.471,1.021,16563844096.0,3153615.0,5252.335524786634
Albania,2002,3.748,16.382,1.2,17408065536.0,3123554.0,5573.15978401526
Albania,2003,4.303,14.813,1.391,18465497088.0,3092993.0,5970.106330017559
Albania,2004,4.177,-2.947,1.364,19587880960.0,3062629.0,6395.773356812072
Albania,2005,4.261,2.029,1.405,20781076480.0,3032636.0,6852.479651366007
Albania,2006,3.911,-8.23,1.302,22124285952.0,3003391.0,7366.43545645572
Albania,2007,3.949,0.978,1.327,23574646784.0,2976089.0,7921.351405821533
Albania,2008,4.397,11.347,1.49,25476937728.0,2951690.0,8631.305363368105
Albania,2009,4.407,0.216,1.504,26471389184.0,2930553.0,9032.898972992469
Albania,2010,4.784,8.563,1.642,27598268416.0,2913402.0,9472.86657179476
Albania,2011,5.315,11.096,1.832,28452651008.0,2900660.0,9809.026569125648
Albania,2012,4.85,-8.742,1.677,28855377920.0,2892191.0,9976.995959118882
Albania,2013,5.287,9.019,1.831,29142642688.0,2887019.0,10094.371629698315
Albania,2014,6.0,13.469,2.08,29675640832.0,2884100.0,10289.393860129676
Albania,2015,4.712,-21.46,1.635,30444531712.0,2882482.0,10561.915637981434
Albania,2016,4.632,-1.701,1.608,31481821184.0,2881064.0,10927.150935904236
Albania,2017,5.293,14.272,1.838,32678760448.0,2879361.0,11349.30995036746
Albania,2018,4.895,-7.521,1.701,34009112576.0,2877019.0,11820.955153928424
Austria,1985,54.366,0.281,7.189,177760567296.0,7562114.0,23506.7293743522
Austria,1986,53.729,-1.173,7.1,181932965888.0,7567247.0,24042.160364000276
Austria,1987,57.374,6.785,7.577,184993447936.0,7572379.0,24430.030236996852
Austria,1988,52.937,-7.733,6.98,190845943808.0,7583766.0,25165.06229332498
Austria,1989,53.696,1.434,7.047,198919356416.0,7619393.0,26106.982067469155
Austria,1990,62.167,15.776,8.096,207979118592.0,7678732.0,27085.086260596152
Austria,1991,65.766,5.788,8.48,215992565760.0,7755640.0,27849.741060699052
Austria,1992,60.266,-8.362,7.686,221400842240.0,7840816.0,28236.96439758311
Austria,1993,60.692,0.707,7.677,223463030784.0,7905280.0,28267.56683937824
Austria,1994,61.067,0.617,7.696,229749260288.0,7935366.0,28952.572608245166
Austria,1995,64.044,4.876,8.059,236824444928.0,7947293.0,29799.385140072223
Austria,1996,67.389,5.222,8.468,243480772608.0,7958043.0,30595.558808616643
Austria,1997,67.285,-0.153,8.445,249847267328.0,7967086.0,31359.931012166806
Austria,1998,66.92,-0.543,8.39,259776266240.0,7975856.0,32570.330537562364
Austria,1999,65.671,-1.866,8.218,270186299392.0,7991382.0,33809.708932948015
Austria,2000,66.172,0.762,8.261,280410161152.0,8010425.0,35005.65340191063
Austria,2001,70.171,6.044,8.728,285335945216.0,8039633.0,35491.16548180744
Austria,2002,71.975,2.57,8.909,291225468928.0,8078994.0,36047.24411578966
Austria,2003,77.402,7.54,9.532,294604374016.0,8120105.0,36280.857700239096
Austria,2004,77.699,0.384,9.509,303786426368.0,8171215.0,37177.63225762631
Austria,2005,79.097,1.799,9.614,311537598464.0,8227034.0,37867.54721859664
Austria,2006,76.817,-2.883,9.291,323263922176.0,8267771.0,39099.2834920077
Austria,2007,74.118,-3.514,8.936,336315973632.0,8294720.0,40545.789807491994
Austria,2008,73.495,-0.84,8.832,342890905600.0,8321134.0,41207.23276418815
Austria,2009,67.315,-8.409,8.069,331192238080.0,8342939.0,39697.310273993375
Austria,2010,72.017,6.985,8.612,338927091712.0,8362829.0,40527.803654959345
Austria,2011,69.909,-2.927,8.331,349843128320.0,8391201.0,41691.66348416633
Austria,2012,67.283,-3.757,7.982,352450904064.0,8429641.0,41810.90322399257
Austria,2013,67.776,0.733,7.993,352913752064.0,8479542.0,41619.435585554034
Austria,2014,64.176,-5.312,7.509,355364634624.0,8546066.0,41582.2478581373
Austria,2015,66.366,3.412,7.679,358988120064.0,8642422.0,41537.906858054375
Austria,2016,67.227,1.297,7.695,364218286080.0,8736491.0,41689.31051150857
Austria,2017,69.609,3.543,7.912,373237972992.0,8797497.0,42425.473176290936
Austria,2018,66.572,-4.363,7.53,382269456384.0,8840518.0,43240.61739187681
Belgium,1985,104.004,-0.917,10.526,235344805888.0,9880540.0,23819.02263317592
Belgium,1986,102.367,-1.575,10.353,238862663680.0,9887822.0,24157.257652898687
Belgium,1987,102.589,0.217,10.362,244504592384.0,9900226.0,24696.869787012944
Belgium,1988,99.743,-2.774,10.057,256045023232.0,9917989.0,25816.223755844054
Belgium,1989,106.792,7.067,10.747,265237135360.0,9937168.0,26691.42107288515
