country,year,co2_per_capita,gdp_per_capita,population,gdp,co2,treated
Kazakhstan,1985,16.436,11826.8101365605,15413315.0,182290350080.0,253.338,0
Kazakhstan,1986,16.42,11741.547993424712,15721289.0,184592269312.0,258.139,0
Kazakhstan,1987,15.933,11415.135827377913,16072474.0,183469473792.0,256.083,0
Kazakhstan,1988,16.689,12089.032764499969,16430588.0,198629916672.0,274.207,0
Kazakhstan,1989,15.848,11832.946155805494,16704995.0,197669306368.0,264.74,0
Kazakhstan,1990,15.9,11557.828943328977,16866574.0,194940977152.0,268.173,0
Kazakhstan,1991,15.362,10264.30586032691,16993796.0,174429519872.0,261.066,0
Kazakhstan,1992,13.855,9742.404620668856,17043420.0,166043893760.0,236.131,0
Kazakhstan,1993,12.263,8926.699329670135,16979700.0,151572676608.0,208.217,0
Kazakhstan,1994,10.446,7954.893489538192,16747153.0,133221818368.0,174.933,0
Kazakhstan,1995,10.24,7481.350240956077,16434323.0,122950926336.0,168.286,0
Kazakhstan,1996,9.57,7694.750599966006,16144248.0,124225961984.0,154.505,0
Kazakhstan,1997,9.255,8027.947024212672,15820435.0,127005614080.0,146.425,0
Kazakhstan,1998,9.324,8094.204264023791,15474257.0,125251796992.0,144.283,0
Kazakhstan,1999,7.817,8476.698903846396,15256256.0,129322688512.0,119.265,0
Kazakhstan,2000,9.41,9369.62806610758,15236256.0,142758051840.0,143.38,0
Kazakhstan,2001,9.081,10659.838922478262,15281288.0,162896068608.0,138.769,0
Kazakhstan,2002,10.27,11722.240033712842,15338962.0,179806994432.0,157.525,0
Kazakhstan,2003,11.407,12816.228185665306,15416709.0,197584060416.0,175.855,0
Kazakhstan,2004,12.006,14026.17819173284,15521921.0,217713229824.0,186.356,0
Kazakhstan,2005,12.777,15335.203527024822,15656255.0,240091856896.0,200.042,0
Kazakhstan,2006,13.94,16887.46257385963,15822751.0,267206115328.0,220.575,0
Kazakhstan,2007,14.166,18276.33466111563,16006138.0,292533534720.0,226.745,0
Kazakhstan,2008,14.005,18756.85917685656,16196521.0,303795863552.0,226.831,0
Kazakhstan,2009,13.69,18844.32319753889,16402365.0,309091467264.0,224.55,0
Kazakhstan,2010,14.963,20052.328183355636,16627839.0,333426884608.0,248.803,0
Kazakhstan,2011,14.171,21366.168278296012,16864920.0,360338718720.0,238.988,0
Kazakhstan,2012,14.404,22121.889110995886,17102868.0,378347749376.0,246.345,0
Kazakhstan,2013,14.711,23121.208648535714,17345734.0,401054334976.0,255.165,1
Kazakhstan,2014,15.591,23777.64920190065,17592296.0,418303442944.0,274.29,1
Kazakhstan,2015,15.624,23734.02193373054,17835908.0,423317831680.0,278.661,1
Kazakhstan,2016,15.361,23669.61068288743,18078558.0,427912429568.0,277.696,1
Kazakhstan,2017,16.024,24322.20252995088,18314822.0,445456809984.0,293.476,1
Kazakhstan,2018,16.57,25014.459211246027,18538100.0,463720546304.0,307.174,1
Kyrgyzstan,1985,5.41,5534.064494765745,4064857.0,22495180800.0,21.992,0
Kyrgyzstan,1986,5.253,5356.268734550396,4132792.0,22136344576.0,21.708,0
Kyrgyzstan,1987,5.045,5207.483665927181,4202473.0,21884309504.0,21.203,0
Kyrgyzstan,1988,5.035,5640.490597143966,4272638.0,24099774464.0,21.511,0
Kyrgyzstan,1989,4.824,5674.011110265441,4335810.0,24601434112.0,20.916,0
Kyrgyzstan,1990,4.323,5725.992027738627,4394738.0,25164234752.0,18.998,0
Kyrgyzstan,1991,3.514,5149.86541043999,4456096.0,22948294656.0,15.657,0
Kyrgyzstan,1992,2.453,4350.089863766973,4501258.0,19580876800.0,11.042,0
Kyrgyzstan,1993,1.879,3741.614615903052,4507638.0,16865844224.0,8.468,0
Kyrgyzstan,1994,1.356,2955.210675838641,4530904.0,13389775872.0,6.144,0
Kyrgyzstan,1995,0.981,2727.5511586424063,4596457.0,12537071616.0,4.507,0
Kyrgyzstan,1996,1.211,2847.818680294331,4666586.0,13289590784.0,5.652,0
Kyrgyzstan,1997,1.174,3052.431471995516,4738384.0,14463592448.0,5.561,0
Kyrgyzstan,1998,1.227,3040.1041939208985,4810415.0,14624162816.0,5.901,0
Kyrgyzstan,1999,0.952,3076.4329322333074,4878916.0,15009657856.0,4.642,0
Kyrgyzstan,2000,0.927,3174.669217871265,4935185.0,15667579904.0,4.575,0
Kyrgyzstan,2001,0.774,3279.4835006643657,4981443.0,16336560128.0,3.857,0
Kyrgyzstan,2002,0.978,3216.956623561715,5026646.0,16170502144.0,4.917,0
Kyrgyzstan,2003,1.059,3374.3241052672206,5078276.0,17135749120.0,5.376,0
Kyrgyzstan,2004,1.131,3534.267445298784,5137043.0,18155683840.0,5.808,0
Kyrgyzstan,2005,1.063,3454.99376866896,5193112.0,17942169600.0,5.519,0
Kyrgyzstan,2006,1.041,3490.99397974188,5246785.0,18316494848.0,5.461,0
Kyrgyzstan,2007,1.232,3717.6409159441464,5294777.0,19684079616.0,6.522,0
Kyrgyzstan,2008,1.399,3921.1836693995333,5345425.0,20960393216.0,7.481,0
Kyrgyzstan,2009,1.239,3943.0889480104115,5414084.0,21348214784.0,6.709,0
Kyrgyzstan,2010,1.159,3836.2681981647333,5483781.0,21037254656.0,6.356,0
Kyrgyzstan,2011,1.372,3974.845253504874,5552339.0,22069688320.0,7.62,0
Kyrgyzstan,2012,1.791,3915.4429209750433,5631955.0,22051598336.0,10.087,0
Kyrgyzstan,2013,1.702,4275.4815902828905,5719561.0,24453877760.0,9.734,0
Kyrgyzstan,2014,1.761,4375.500170094176,5814426.0,25441021952.0,10.236,0
Kyrgyzstan,2015,1.735,4450.702381155658,5914985.0,26325837824.0,10.265,0
Kyrgyzstan,2016,1.599,4538.931716797908,6018303.0,27316666368.0,9.622,0
Kyrgyzstan,2017,1.529,4674.111124071393,6121266.0,28611477504.0,9.361,0
Kyrgyzstan,2018,1.795,4756.348462915499,6223503.0,29601148928.0,11.172,0
Tajikistan,1985,2.7,5258.566477163495,4660608.0,24508116992.0,12.586,0
Tajikistan,1986,2.51,5227.787463140461,4798283.0,25084403712.0,12.042,0
Tajikistan,1987,2.388,4957.161927566839,4946298.0,24519600128.0,11.813,0
Tajikistan,1988,2.501,5413.329874000494,5100020.0,27608090624.0,12.757,0
Tajikistan,1989,2.405,4852.348117035909,5264333.0,25544376320.0,12.659,0
Tajikistan,1990,2.208,4673.691707909873,5417862.0,25321416704.0,11.965,0
Tajikistan,1991,1.738,4155.477463030804,5556315.0,23089141760.0,9.658,0
Tajikistan,1992,1.292,2754.3090716479005,5656216.0,15578967040.0,7.308,0
Tajikistan,1993,0.904,2407.940303070316,5717815.0,13768157184.0,5.171,0
Tajikistan,1994,0.406,1861.917736619899,5803992.0,10806555648.0,2.355,0
Tajikistan,1995,0.413,1599.0665657232037,5916183.0,9460370432.0,2.445,0
Tajikistan,1996,0.468,1489.341413164049,6035605.0,8989076480.0,2.824,0
Tajikistan,1997,0.351,1488.4796809450806,6117066.0,9105128448.0,2.15,0
Tajikistan,1998,0.406,1544.4913722436033,6156815.0,9509147648.0,2.497,0
Tajikistan,1999,0.407,1600.6031207029507,6189567.0,9907040256.0,2.517,0
Tajikistan,2000,0.356,1711.3515244139128,6273001.0,10735309824.0,2.234,0
Tajikistan,2001,0.357,1825.2895592366324,6408813.0,11697939456.0,2.288,0
Tajikistan,2002,0.287,1955.5568665181438,6541758.0,12792779776.0,1.877,0
Tajikistan,2003,0.31,2102.276705107548,6672497.0,14027435008.0,2.071,0
Tajikistan,2004,0.376,2262.990727232788,6801206.0,15391066112.0,2.56,0
Tajikistan,2005,0.352,2376.827824122227,6929153.0,16469403648.0,2.439,0
