country,year,co2_per_capita,gdp_per_capita,population,gdp,co2,treated
Cambodia,1985,0.057,1633.1233268574542,7376090.0,12046064640.0,0.418,0
Cambodia,1986,0.056,1664.056671174158,7661320.0,12748870656.0,0.432,0
Cambodia,1987,0.055,1565.550843910795,7975606.0,12486216704.0,0.436,0
Cambodia,1988,0.054,1548.1777458758295,8269784.0,12803095552.0,0.451,0
Cambodia,1989,0.053,1530.2141921338534,8570931.0,13115360256.0,0.451,0
Cambodia,1990,0.141,1472.3438737191675,8910806.0,13119770624.0,1.26,0
Cambodia,1991,0.141,1490.2491502114292,9259362.0,13798756352.0,1.304,0
Cambodia,1992,0.139,1485.9880737382175,9718217.0,14441154560.0,1.348,0
Cambodia,1993,0.135,1432.219319193319,10243554.0,14671015936.0,1.385,0
Cambodia,1994,0.139,1457.880760444863,10636353.0,15506534400.0,1.482,0
Cambodia,1995,0.142,1477.1276765808925,10919528.0,16129537024.0,1.555,0
Cambodia,1996,0.146,1486.0440936299951,11182613.0,16617856000.0,1.631,0
Cambodia,1997,0.136,1499.8991740247934,11431578.0,17146214400.0,1.552,0
Cambodia,1998,0.168,1507.4327717326985,11669087.0,17590364160.0,1.963,0
Cambodia,1999,0.159,1616.3210673829167,11899010.0,19232620544.0,1.894,0
Cambodia,2000,0.163,1686.7498820844628,12118844.0,20441458688.0,1.975,0
Cambodia,2001,0.182,1750.3564108794494,12338198.0,21596243968.0,2.25,0
Cambodia,2002,0.176,1790.1633995747259,12561783.0,22487644160.0,2.206,0
Cambodia,2003,0.186,1864.8661401091704,12787714.0,23847374848.0,2.378,0
Cambodia,2004,0.188,1975.157915601246,13016377.0,25709400064.0,2.444,0
Cambodia,2005,0.209,2147.797148669529,13246588.0,28450983936.0,2.774,0
Cambodia,2006,0.222,2284.3250793287116,13477781.0,30787633152.0,2.997,0
Cambodia,2007,0.253,2417.507200033132,13714798.0,33155622912.0,3.471,0
Cambodia,2008,0.277,2478.2548729383184,13943897.0,34556530688.0,3.867,0
Cambodia,2009,0.322,2436.0020893288392,14155742.0,34483417088.0,4.557,0
Cambodia,2010,0.354,2435.9343543169807,14363534.0,34988625920.0,5.078,0
Cambodia,2011,0.362,2511.722903981599,14573894.0,36605583360.0,5.275,0
Cambodia,2012,0.377,2657.0472624969143,14786650.0,39288827904.0,5.576,0
Cambodia,2013,0.376,2813.269396549569,14999691.0,42198171648.0,5.637,0
Cambodia,2014,0.449,2970.3827154057535,15210817.0,45181947904.0,6.834,0
Cambodia,2015,0.543,3136.589496356971,15417527.0,48358453248.0,8.366,0
Cambodia,2016,0.699,3312.077180924986,15624586.0,51749834752.0,10.922,0
Cambodia,2017,0.788,3497.684465380987,15830694.0,55370772480.0,12.476,0
Cambodia,2018,0.869,3715.5040878633845,16025242.0,59541852160.0,13.934,0
Indonesia,1985,0.733,3110.1868108038416,165791696.0,515643146240.0,121.597,0
Indonesia,1986,0.722,3227.678013954274,169135280.0,545914224640.0,122.166,0
Indonesia,1987,0.718,3322.4822750068042,172421392.0,572867018752.0,123.878,0
Indonesia,1988,0.755,3447.130910311208,175694640.0,605642424320.0,132.721,0
Indonesia,1989,0.736,3688.4304718309727,178949168.0,660041564160.0,131.674,0
Indonesia,1990,0.851,3944.6054868896276,182159888.0,718548893696.0,155.081,0
Indonesia,1991,0.943,4242.742599984445,185361232.0,786439995392.0,174.865,0
Indonesia,1992,1.058,4464.2951858484,188558416.0,841780428800.0,199.419,0
Indonesia,1993,1.122,4760.173066145509,191737280.0,912702636032.0,215.109,0
Indonesia,1994,1.125,5059.291249782279,194928544.0,986200276992.0,219.372,0
Indonesia,1995,1.122,5411.34257640652,198140160.0,1072204283904.0,222.41,0
Indonesia,1996,1.257,5766.795139498589,201373792.0,1161281404928.0,253.065,0
Indonesia,1997,1.368,5969.145803456356,204628016.0,1221454462976.0,279.941,0
Indonesia,1998,1.176,5128.878734825611,207855488.0,1066065592320.0,244.523,0
Indonesia,1999,1.384,5115.63208591413,210996912.0,1079382573056.0,292.001,0
Indonesia,2000,1.314,5317.359649362766,214072416.0,1138300026880.0,281.33,0
Indonesia,2001,1.46,5459.019128374925,217112432.0,1185220919296.0,317.027,0
Indonesia,2002,1.401,5652.724637068041,220115088.0,1244249980928.0,308.486,0
Indonesia,2003,1.521,5871.48344214685,223080128.0,1309811277824.0,339.357,0
Indonesia,2004,1.518,6115.997789983572,225938592.0,1381839929344.0,343.022,0
Indonesia,2005,1.519,6413.07622136061,228805152.0,1467344879616.0,347.617,0
Indonesia,2006,1.495,6709.234066518358,231797424.0,1555183173632.0,346.633,0
Indonesia,2007,1.651,7074.860055115449,234858288.0,1661589520384.0,387.858,0
Indonesia,2008,1.537,7537.577976622204,237936544.0,1793465253888.0,365.718,0
Indonesia,2009,1.655,7827.721552630375,240981296.0,1886334484480.0,398.942,0
Indonesia,2010,1.827,8261.193371114872,244016176.0,2015864815616.0,445.806,0
Indonesia,2011,2.026,8701.51902438601,247099696.0,2150142705664.0,500.725,0
Indonesia,2012,2.062,9110.829888359283,250222688.0,2279736344576.0,515.954,0
Indonesia,2013,1.931,9501.360923754615,253275920.0,2406465929216.0,489.055,0
Indonesia,2014,1.904,9861.667425485626,256229760.0,2526852677632.0,487.89,0
Indonesia,2015,2.081,10228.813763366064,259091968.0,2650203488256.0,539.149,0
Indonesia,2016,2.063,10628.844336022137,261850176.0,2783164760064.0,540.086,0
Indonesia,2017,2.106,11055.894543026516,264498848.0,2924271370240.0,556.944,0
Indonesia,2018,2.225,11515.67905012306,267066848.0,3075456106496.0,594.101,0
Laos,1985,0.055,1350.7488398707615,3741609.0,5053974016.0,0.205,0
Laos,1986,0.054,1377.3696068383886,3848392.0,5300658176.0,0.209,0
Laos,1987,0.054,1319.0768898964845,3959701.0,5223150080.0,0.213,0
Laos,1988,0.052,1256.030158779239,4074966.0,5118280192.0,0.213,0
Laos,1989,0.055,1394.1042803931762,4193540.0,5846232064.0,0.231,0
Laos,1990,0.119,1445.148653754066,4314442.0,6235010048.0,0.513,0
Laos,1991,0.123,1476.2692263399285,4437233.0,6550550528.0,0.546,0
Laos,1992,0.13,1527.1776838875214,4561117.0,6965636096.0,0.593,0
Laos,1993,0.13,1586.4369873986536,4685293.0,7432922112.0,0.607,0
Laos,1994,0.132,1683.8261248647034,4807956.0,8095761920.0,0.634,0
Laos,1995,0.136,1771.7711749243824,4927432.0,8730281984.0,0.671,0
Laos,1996,0.149,1863.7655918412663,5043920.0,9400684544.0,0.75,0
Laos,1997,0.154,1965.0958938472265,5150539.0,10121303040.0,0.792,0
Laos,1998,0.156,2020.0352313222877,5246922.0,10598967296.0,0.82,0
Laos,1999,0.158,2145.834046808463,5340060.0,11458882560.0,0.846,0
Laos,2000,0.177,2248.1302452538844,5430862.0,12209285120.0,0.96,0
Laos,2001,0.193,2356.227726291616,5519714.0,13005703168.0,1.063,0
Laos,2002,0.208,2474.522138462315,5606103.0,13872425984.0,1.166,0
Laos,2003,0.215,2609.163437551854,5689072.0,14843718656.0,1.221,0
Laos,2004,0.222,2773.977205248805,5768170.0,16000772096.0,1.282,0
Laos,2005,0.228,2940.150685233426,5852969.0,17208610816.0,1.337,0
Laos,2006,0.296,2888.539353852296,5946597.0,17176979456.0,1.757,0
Laos,2007,0.304,3385.7986574203965,6041355.0,20454811648.0,1.835,0
Laos,2008,0.347,3619.859074428487,6135863.0,22210959360.0,2.131,0
Laos,2009,0.428,3860.529736034079,6229933.0,24050841600.0,2.667,0
Laos,2010,0.475,4143.010796838738,6323425.0,26198018048.0,3.005,0
Laos,2011,0.494,4442.613140749752,6416331.0,28505276416.0,3.17,0
Laos,2012,0.522,4725.385929155055,6508806.0,30756620288.0,3.398,0
Laos,2013,0.646,5031.84715401434,6600736.0,33213894656.0,4.261,0
Laos,2014,0.665,5339.307862984305,6691467.0,35727802368.0,4.45,0
Laos,2015,1.36,5661.032609150458,6787420.0,38423805952.0,9.229,0
Laos,2016,2.388,5967.513441021708,6891366.0,41124319232.0,16.458,0
Laos,2017,2.813,6279.752716412365,6997925.0,43945238528.0,19.684,0
Laos,2018,2.893,6568.1785152106795,7105008.0,46666960896.0,20.558,0
Malaysia,1985,2.405,6817.729455927106,15108141.0,103003217920.0,36.33,0
Malaysia,1986,2.577,6704.166132658369,15558747.0,104308424704.0,40.102,0
Malaysia,1987,2.55,6848.861764846951,16033107.0,109808533504.0,40.878,0
Malaysia,1988,2.594,7233.403175964876,16524616.0,119529209856.0,42.869,0
Malaysia,1989,2.943,7679.157703953621,17020144.0,130700369920.0,50.084,0
Malaysia,1990,3.098,8174.437556987303,17517060.0,143192113152.0,54.269,0
Malaysia,1991,3.651,8768.203983356154,18017470.0,157980852224.0,65.785,0
Malaysia,1992,3.938,9353.406638675366,18526708.0,173287833600.0,72.961,0
Malaysia,1993,4.552,10069.537182900182,19050074.0,191825428480.0,86.719,0
Malaysia,1994,4.494,10773.189940775057,19588706.0,211032850432.0,88.036,0
Malaysia,1995,5.504,11594.491222128387,20136886.0,233476947968.0,110.841,0
Malaysia,1996,5.347,12503.546103689583,20689060.0,258686615552.0,110.633,0
Malaysia,1997,5.63,13161.909718672412,21249178.0,279679762432.0,119.629,0
Malaysia,1998,5.033,11966.0781755905,21810542.0,260986650624.0,109.782,0
Malaysia,1999,4.649,12473.847652867056,22368652.0,279023157248.0,103.987,0
Malaysia,2000,5.355,13310.697571670042,22945152.0,305415979008.0,122.878,0
Malaysia,2001,5.56,13136.02857535824,23542522.0,309255241728.0,130.89,0
Malaysia,2002,5.469,13598.819189835265,24142448.0,328308785152.0,132.035,0
Malaysia,2003,6.2,14141.156625983956,24739420.0,349844013056.0,153.384,0
Malaysia,2004,6.698,14853.844054592284,25333250.0,376296144896.0,169.678,0
Malaysia,2005,6.556,15349.318515603965,25923540.0,397908672512.0,169.967,0
Malaysia,2006,6.419,15964.376182711834,26509416.0,423206289408.0,170.166,0
Malaysia,2007,6.476,16726.216708294265,27092604.0,453156765696.0,175.451,0
Malaysia,2008,6.971,17297.242794902773,27664304.0,478516183040.0,192.847,0
Malaysia,2009,6.809,16823.47722340212,28217208.0,474711556096.0,192.119,0
Malaysia,2010,6.942,17904.3409740492,28717728.0,514171994112.0,199.346,0
Malaysia,2011,6.971,18687.146846197968,29184140.0,545368309760.0,203.452,0
Malaysia,2012,7.181,19392.68149362095,29660216.0,575191121920.0,212.99,0
Malaysia,2013,8.02,19983.178302458626,30134806.0,602189201408.0,241.671,0
Malaysia,2014,8.006,20858.626396641703,30606454.0,638408589312.0,245.05,0
Malaysia,2015,7.58,21569.373598249615,31068834.0,670135287808.0,235.506,0
Malaysia,2016,7.512,22156.978288999187,31526414.0,698530070528.0,236.817,0
Malaysia,2017,7.634,23099.9484815585,31975812.0,738639609856.0,244.106,0
Malaysia,2018,8.093,23878.88706480115,32399270.0,773658509312.0,262.207,0
Mongolia,1985,4.687,1940.5788259439355,1919755.0,3725435904.0,8.998,0
Mongolia,1986,4.871,2069.238509662341,1969916.0,4076226048.0,9.595,0
Mongolia,1987,5.185,2088.093652903502,2021507.0,4221095936.0,10.483,0
Mongolia,1988,5.542,2139.1798273489253,2073778.0,4436184064.0,11.493,0
Mongolia,1989,4.932,2178.5003887619737,2120835.0,4620239872.0,10.459,0
Mongolia,1990,4.53,2083.2791176252867,2161440.0,4502882816.0,9.791,0
Mongolia,1991,5.436,1949.0090792276815,2200077.0,4287970048.0,11.96,0
Mongolia,1992,4.893,1819.1961718808336,2236503.0,4068637696.0,10.943,0
Mongolia,1993,4.049,1823.2014211256333,2270313.0,4139237888.0,9.193,0
Mongolia,1994,3.417,1930.4008891538354,2301514.0,4442844672.0,7.865,0
Mongolia,1995,3.363,2125.3958878944222,2330339.0,4952892928.0,7.837,0
Mongolia,1996,3.367,2256.340671639575,2357038.0,5318280704.0,7.935,0
Mongolia,1997,3.197,2434.976036799415,2381777.0,5799569920.0,7.615,0
Mongolia,1998,3.169,2618.1400557801658,2405156.0,6297035264.0,7.622,0
Mongolia,1999,3.083,2807.053651225036,2428500.0,6816929792.0,7.488,0
Mongolia,2000,3.032,2948.056329937152,2450988.0,7225650688.0,7.432,0
Mongolia,2001,3.156,3154.324421300228,2472612.0,7799420416.0,7.804,0
Mongolia,2002,3.286,3435.191075842352,2494622.0,8569503232.0,8.197,0
Mongolia,2003,3.152,3821.255300996121,2516461.0,9616039936.0,7.931,0
Mongolia,2004,3.35,4395.787972599987,2537955.0,11156312064.0,8.501,0
Mongolia,2005,3.327,4902.769437079029,2559258.0,12547451904.0,8.515,0
Mongolia,2006,3.596,5535.664075281502,2581245.0,14288905216.0,9.281,0
Mongolia,2007,4.589,6340.117064207086,2605647.0,16520107008.0,11.958,0
Mongolia,2008,4.525,7162.68229876958,2633896.0,18865760256.0,11.918,0
Mongolia,2009,4.885,7325.327147452412,2666718.0,19534581760.0,13.026,0
Mongolia,2010,5.096,8063.2194090937855,2702527.0,21791068160.0,13.772,0
Mongolia,2011,7.787,9771.062211865685,2743946.0,26811267072.0,21.368,0
Mongolia,2012,12.534,10784.775214030886,2792354.0,30114910208.0,35.0,0
Mongolia,2013,15.281,11816.221321823728,2845160.0,33619040256.0,43.478,0
Mongolia,2014,10.206,12495.305581526416,2902826.0,36271697920.0,29.626,0
Mongolia,2015,7.853,12516.11002321945,2964756.0,37107212288.0,23.282,0
Mongolia,2016,8.46,12365.878592890913,3029559.0,37463158784.0,25.629,0
Mongolia,2017,11.026,12653.212189921749,3096033.0,39174762496.0,34.135,0
Mongolia,2018,14.322,13126.370196656504,3163994.0,41531756544.0,45.316,0
Myanmar,1985,0.181,1484.1373948836128,36881024.0,54736506880.0,6.676,0
Myanmar,1986,0.18,1442.5888999632282,37572344.0,54201446400.0,6.756,0
Myanmar,1987,0.129,1360.030330101829,38233172.0,51998273536.0,4.943,0
Myanmar,1988,0.105,1186.1348332645198,38868272.0,46103011328.0,4.087,0
Myanmar,1989,0.112,1209.997868390862,39489416.0,47782109184.0,4.425,0
Myanmar,1990,0.106,1226.2348337223484,40099556.0,49171472384.0,4.236,0
Myanmar,1991,0.102,1181.4966609587777,40680540.0,48063922176.0,4.137,0
Myanmar,1992,0.117,1258.3398085562646,41237808.0,51891175424.0,4.842,0
Myanmar,1993,0.127,1296.974928487167,41788304.0,54198382592.0,5.303,0
Myanmar,1994,0.146,1354.325944953449,42337112.0,57338249216.0,6.174,0
Myanmar,1995,0.161,1409.8082666988307,42880188.0,60452843520.0,6.893,0
Myanmar,1996,0.166,1459.5507363591444,43423376.0,63378620416.0,7.188,0
Myanmar,1997,0.169,1499.478609644397,43972060.0,65935163392.0,7.42,0
Myanmar,1998,0.181,1543.2338039366714,44516188.0,68698886144.0,8.046,0
Myanmar,1999,0.198,1666.8012675558646,45041644.0,75075469312.0,8.934,0
Myanmar,2000,0.224,1846.653663704035,45538340.0,84093542400.0,10.219,0
Myanmar,2001,0.192,2003.16040455481,46014828.0,92175081472.0,8.856,0
Myanmar,2002,0.201,2185.692227552373,46480236.0,101591490560.0,9.328,0
Myanmar,2003,0.213,2424.7873747962035,46924296.0,113781440512.0,9.997,0
Myanmar,2004,0.265,2685.2512570121653,47338444.0,127115616256.0,12.565,0
Myanmar,2005,0.242,2976.2324435983282,47724472.0,142039121920.0,11.555,0
Myanmar,2006,0.266,3286.2191105374623,48088276.0,158028611584.0,12.813,0
Myanmar,2007,0.265,3594.199786267713,48445652.0,174123352064.0,12.841,0
Myanmar,2008,0.201,3642.8237434916196,48729480.0,177512906752.0,9.772,0
Myanmar,2009,0.208,3739.4348872882633,49015836.0,183291527168.0,10.207,0
Myanmar,2010,0.266,3841.2698880208673,49390988.0,189724114944.0,13.122,0
Myanmar,2011,0.304,3963.4691452040674,49794528.0,197359075328.0,15.122,0
Myanmar,2012,0.235,4218.495843060551,50218196.0,211845251072.0,11.819,0
Myanmar,2013,0.251,4531.484529718805,50648336.0,229512151040.0,12.722,0
Myanmar,2014,0.31,4848.5921916863335,51072436.0,247629414400.0,15.849,0
Myanmar,2015,0.425,5159.186113203888,51483956.0,265615310848.0,21.887,0
Myanmar,2016,0.407,5439.178942746707,51892352.0,282251788288.0,21.14,0
Myanmar,2017,0.452,5708.371394741436,52288344.0,298481287168.0,23.63,0
Myanmar,2018,0.646,6030.43570077524,52666016.0,317599023104.0,34.017,0
Philippines,1985,0.509,3300.4663647023417,54812656.0,180907327488.0,27.899,0
Philippines,1986,0.517,3334.295181145041,56109844.0,187086782464.0,29.025,0
Philippines,1987,0.566,3399.198925719644,57415180.0,195165618176.0,32.496,0
Philippines,1988,0.638,3544.847579614105,58755920.0,208280780800.0,37.485,0
Philippines,1989,0.647,3679.4204301563122,60127352.0,221233807360.0,38.907,0
Philippines,1990,0.672,3702.749559982391,61558900.0,227937189888.0,41.349,0
Philippines,1991,0.69,3623.867348716727,63039752.0,228447698944.0,43.472,0
Philippines,1992,0.748,3577.7310950669503,64543524.0,230919372800.0,48.293,0
Philippines,1993,0.74,3596.3763575815283,66083324.0,237660504064.0,48.929,0
Philippines,1994,0.801,3696.0635399512266,67650288.0,250039762944.0,54.158,0
Philippines,1995,0.866,3807.716908442155,69250472.0,263686193152.0,59.965,0
Philippines,1996,0.864,3965.1935213784295,70944968.0,281310527488.0,61.265,0
Philippines,1997,0.964,4099.993326185437,72718832.0,298146725888.0,70.069,0
Philippines,1998,0.916,4010.6056965527864,74491928.0,298757750784.0,68.264,0
Philippines,1999,0.894,4069.113579676204,76249064.0,310266101760.0,68.188,0
Philippines,2000,0.928,4187.660858769692,77958224.0,326462603264.0,72.357,0
Philippines,2001,0.883,4251.5204614849345,79626088.0,338531942400.0,70.326,0
Philippines,2002,0.864,4349.706412463634,81285576.0,353568391168.0,70.267,0
Philippines,2003,0.847,4509.631858856051,82942840.0,374041673728.0,70.287,0
Philippines,2004,0.861,4752.979633579546,84607504.0,402137743360.0,72.806,0
Philippines,2005,0.85,4922.840235281548,86261248.0,424650342400.0,73.303,0
Philippines,2006,0.757,5122.946355884824,87901832.0,450316369920.0,66.554,0
Philippines,2007,0.79,5402.065727619013,89561376.0,483816439808.0,70.796,0
Philippines,2008,0.847,5565.134921094835,91252328.0,507831517184.0,77.331,0
Philippines,2009,0.824,5568.74057072899,92946952.0,517597462528.0,76.61,0
Philippines,2010,0.878,5932.540011368105,94636704.0,561436033024.0,83.063,0
Philippines,2011,0.871,6087.54064157006,96337912.0,586460954624.0,83.908,0
Philippines,2012,0.904,6382.20365006153,98032320.0,625662230528.0,88.629,0
Philippines,2013,0.963,6718.403332104582,99700112.0,669825564672.0,96.036,0
Philippines,2014,1.002,7022.129986054408,101325208.0,711518781440.0,101.484,0
Philippines,2015,1.091,7313.207107428263,103031360.0,753489674240.0,112.449,0
Philippines,2016,1.161,7676.328782784944,104875272.0,805057069056.0,121.792,0
Philippines,2017,1.266,8046.008122130557,106738496.0,858818805760.0,135.15,0
Philippines,2018,1.303,8404.285321518426,108568832.0,912443441152.0,141.518,0
Singapore,1985,12.062,17006.239699596463,2685987.0,45678538752.0,32.397,0
Singapore,1986,12.401,16833.031569200983,2749737.0,46286409728.0,34.101,0
Singapore,1987,11.301,18213.36687285438,2814749.0,51266056192.0,31.811,0
Singapore,1988,12.248,19775.511530774595,2880509.0,56963538944.0,35.281,0
Singapore,1989,13.92,21307.845590364523,2945697.0,62766456832.0,41.004,0
Singapore,1990,14.405,22852.611013500682,3022218.0,69065572352.0,43.536,0
Singapore,1991,14.175,23874.553927784385,3120627.0,74503577600.0,44.235,0
Singapore,1992,14.696,24988.74232289233,3228234.0,80669507584.0,47.441,0
Singapore,1993,14.895,27285.779626133804,3334134.0,90974445568.0,49.662,0
Singapore,1994,17.474,29673.315226823815,3438616.0,102035136512.0,60.086,0
Singapore,1995,11.441,31156.508317724256,3543878.0,110414864384.0,40.546,0
Singapore,1996,13.147,32872.89038679812,3651905.0,120048672768.0,48.013,0
Singapore,1997,15.087,34952.54262761561,3760649.0,131444244480.0,56.737,0
Singapore,1998,12.263,33609.48239865753,3866296.0,129944207360.0,47.412,0
Singapore,1999,12.404,35143.69931059868,3966485.0,139396956160.0,49.2,0
Singapore,2000,11.939,37863.43522822418,4053602.0,153483296768.0,48.394,0
Singapore,2001,11.938,37295.17939330912,4121341.0,153706151936.0,49.2,0
Singapore,2002,11.275,38775.580553433385,4176799.0,161957806080.0,47.093,0
Singapore,2003,11.697,40464.080132178155,4226417.0,171018076160.0,49.435,0
Singapore,2004,10.973,44357.72733418618,4270407.0,189425549312.0,46.859,0
Singapore,2005,9.572,47385.06088299504,4344645.0,205871267840.0,41.586,0
Singapore,2006,9.43,50505.67411755188,4486581.0,226597797888.0,42.308,0
Singapore,2007,6.601,53607.92708623277,4663262.0,249987809280.0,30.781,0
Singapore,2008,9.653,53174.61000776289,4838404.0,257280245760.0,46.705,0
Singapore,2009,9.031,51602.59919887553,5010707.0,258565505024.0,45.25,0
Singapore,2010,8.337,58346.20295163147,5163585.0,301275578368.0,43.048,0
Singapore,2011,6.441,61268.383499600764,5281351.0,323579838464.0,34.017,0
Singapore,2012,9.423,62462.039348426304,5381003.0,336108421120.0,50.706,0
Singapore,2013,10.023,64423.444085254225,5478063.0,352915685376.0,54.909,0
Singapore,2014,9.355,65617.23609618876,5570505.0,365521141760.0,52.109,0
Singapore,2015,10.96,65944.16024297259,5650020.0,372585824256.0,61.925,0
Singapore,2016,7.054,66532.11935147733,5711936.0,380027207680.0,40.289,0
Singapore,2017,6.942,68784.49764827377,5764489.0,396507480064.0,40.015,0
Singapore,2018,8.605,70536.9025218319,5814543.0,410139852800.0,50.036,0
South Korea,1985,4.093,8767.67372847279,41232700.0,361514860544.0,168.758,0
South Korea,1986,4.217,9617.428536083919,41808708.0,402092261376.0,176.297,0
South Korea,1987,4.371,10664.289293167876,42405260.0,452221960192.0,185.358,0
South Korea,1988,4.907,11771.78751430384,42988456.0,506050969600.0,210.953,0
South Korea,1989,5.13,12431.913272631838,43567516.0,541627580416.0,223.51,0
South Korea,1990,5.678,13480.597408705886,44120040.0,594764496896.0,250.511,0
South Korea,1991,6.197,14652.943145355364,44487412.0,651871518720.0,275.688,0
South Korea,1992,6.709,15376.1003428172,44703708.0,687368699904.0,299.905,0
South Korea,1993,7.348,16232.426456755831,44932856.0,729369280512.0,330.174,0
South Korea,1994,7.875,17514.893904642504,45165784.0,791073914880.0,355.695,0
South Korea,1995,8.452,18962.96443343237,45393416.0,860793733120.0,383.665,0
South Korea,1996,9.22,20144.75104977722,45660164.0,919812636672.0,420.996,0
South Korea,1997,9.681,21052.10192889874,45962392.0,967604961280.0,444.968,0
South Korea,1998,8.174,19640.280616627886,46250260.0,908368084992.0,378.038,0
South Korea,1999,8.824,21585.399379816805,46520448.0,1004162449408.0,410.519,0
South Korea,2000,9.404,23216.381104896776,46788588.0,1086261690368.0,439.981,0
South Korea,2001,9.681,23958.809990246635,47064784.0,1127616217088.0,455.631,0
South Korea,2002,10.06,25423.70568257453,47320664.0,1203066634240.0,476.065,0
South Korea,2003,10.206,25869.524908297775,47539740.0,1229830488064.0,485.213,0
